iteration,time_s,timestamp_us,gt_z0,pred_z0,normalized_error_z0,gt_z1,pred_z1,normalized_error_z1,gt_z2,pred_z2,normalized_error_z2,gt_z3,pred_z3,normalized_error_z3,gt_z4,pred_z4,normalized_error_z4,gt_z5,pred_z5,normalized_error_z5,gt_z6,pred_z6,normalized_error_z6,gt_z7,pred_z7,normalized_error_z7,skill_rmse,oracle_ADE,oracle_FDE,prediction_ADE,prediction_FDE
0,0.0,1629220926500343,-0.31767675,-0.3598845,-0.04293123,-0.27180502,-0.3489965,-0.0791034,-1.9878316,-2.123419,-0.15519051,0.20189935,0.28492662,0.07775893,-1.3475893,-1.2676102,0.069336645,-0.23463562,-0.020482264,0.2416098,-1.479742,-1.4166483,0.05217365,-1.1121027,-1.1263016,-0.011895553,0.11416952311992645,0.15349678695201874,0.2738744616508484,0.3004792630672455,0.7849299907684326
1,0.099962,1629220926600305,-0.34386966,-0.36492756,-0.021418856,-0.2907017,-0.35132307,-0.062122893,-1.9822762,-2.160542,-0.20403926,0.2089003,0.27504927,0.061951607,-1.2648269,-1.2095789,0.04789644,-0.27100632,-0.08301326,0.21209551,-1.4338615,-1.391048,0.035403468,-1.0131537,-1.0669813,-0.045095723,0.11200091987848282,0.16041122376918793,0.3169781267642975,0.22578909993171692,0.6194036602973938
2,0.199927,1629220926700270,-0.36693174,-0.40700412,-0.04075926,-0.30715925,-0.39644223,-0.09149441,-1.9753845,-1.9772344,-0.0021173444,0.22361901,0.21525085,-0.007837178,-1.1762193,-1.0693932,0.09261135,-0.3186733,-0.11584147,0.22883676,-1.3869467,-1.2375628,0.123528875,-0.89329976,-1.0830952,-0.15900682,0.11810171604156494,0.16794505715370178,0.3665505051612854,0.31888559460639954,1.041609764099121
3,0.299889,1629220926800232,-0.38960627,-0.38424432,0.0054538534,-0.32535326,-0.39018157,-0.06643402,-1.9718416,-2.01065,-0.044419207,0.23573324,0.27029726,0.03237082,-1.0695146,-0.89119947,0.15458764,-0.38769794,-0.30230793,0.096337795,-1.3343886,-1.2018509,0.1095984,-0.7470076,-0.75978434,-0.010704091,0.08121641725301743,0.17640332877635956,0.3935558497905731,0.301824152469635,0.7586694359779358
4,0.399853,1629220926900196,-0.40562546,-0.43740538,-0.032324653,-0.34228358,-0.43535447,-0.09537614,-1.9501355,-1.9480088,0.0024341685,0.23742008,0.22323571,-0.013284327,-0.96107006,-0.78206164,0.15518865,-0.47112834,-0.2947825,0.19895503,-1.2846481,-1.1032505,0.15000167,-0.6100629,-0.78612316,-0.14749976,0.1215767189860344,0.18603532016277313,0.43701303005218506,0.4251002073287964,1.1961820125579834
5,0.499818,1629220927000161,-0.4168596,-0.42430106,-0.0075690146,-0.3555777,-0.43284836,-0.07918455,-1.9122053,-2.015008,-0.11766571,0.25030294,0.30485156,0.05108734,-0.85650796,-0.7247392,0.11423495,-0.58110124,-0.45660385,0.1404591,-1.2507267,-1.1673673,0.06893171,-0.45743406,-0.51021194,-0.044216257,0.0882239043712616,0.19608497619628906,0.4295060634613037,0.3335265517234802,0.8646937608718872
6,0.599789,1629220927100132,-0.42014584,-0.42870656,-0.008707456,-0.36456534,-0.43931127,-0.07659728,-1.8864895,-1.8917028,-0.0059669875,0.2675227,0.2961882,0.026846595,-0.75142115,-0.60450673,0.12736525,-0.7092985,-0.571618,0.15533239,-1.2344576,-1.088238,0.120912254,-0.30904928,-0.37745386,-0.057307992,0.09010642766952515,0.20735903084278107,0.38584932684898376,0.36533674597740173,0.9373037219047546
7,0.699766,1629220927200109,-0.40259838,-0.4069769,-0.0044535794,-0.37108243,-0.4254548,-0.055719104,-1.8794205,-1.8003049,0.090554066,0.2807531,0.30467695,0.022405801,-0.6610557,-0.48817876,0.14987305,-0.8188315,-0.68124765,0.15522338,-1.2177683,-1.0165536,0.1663889,-0.16375607,-0.24632011,-0.0691705,0.10656721144914627,0.22915762662887573,0.2987292408943176,0.32177847623825073,0.804029643535614
8,0.799754,1629220927300097,-0.39346743,-0.46531603,-0.07308015,-0.3694101,-0.48162326,-0.11499254,-1.8724157,-1.7592402,0.12953828,0.32957816,0.2514731,-0.07314905,-0.5961785,-0.52509415,0.06162548,-0.8681279,-0.5574072,0.35055795,-1.1980078,-0.9856834,0.17557581,0.018180449,-0.47075158,-0.40961748,0.21389159560203552,0.25991225242614746,0.24668850004673004,0.4278939366340637,1.5174989700317383
9,0.899748,1629220927400091,-0.39779687,-0.50919163,-0.113304175,-0.37470385,-0.5218435,-0.15078409,-1.7920953,-1.6655122,0.14488433,0.36357746,0.1587229,-0.19185588,-0.49928614,-0.5567498,-0.049817268,-0.9279867,-0.4406869,0.54977614,-1.1326761,-0.91622204,0.1789907,0.17432825,-0.74774694,-0.77249616,0.3582766652107239,0.2360685020685196,0.3162389397621155,0.5129400491714478,2.1643636226654053
