iteration,time_s,timestamp_us,gt_z0,pred_z0,normalized_error_z0,gt_z1,pred_z1,normalized_error_z1,gt_z2,pred_z2,normalized_error_z2,gt_z3,pred_z3,normalized_error_z3,gt_z4,pred_z4,normalized_error_z4,gt_z5,pred_z5,normalized_error_z5,gt_z6,pred_z6,normalized_error_z6,gt_z7,pred_z7,normalized_error_z7,skill_rmse,oracle_ADE,oracle_FDE,prediction_ADE,prediction_FDE
0,0.0,1624895123749717,-0.8694367,-0.8748754,-0.0055319704,-0.8644607,-0.8320361,0.033227745,0.830321,0.9332531,0.11781389,-0.40476266,-0.43297887,-0.026425805,0.51713,0.58150136,0.05580577,-0.827986,-0.7308542,0.10958499,0.41579336,0.4984834,0.068378225,-0.83653545,-0.98994064,-0.1285198,0.08064521104097366,0.018871469423174858,0.03511489927768707,0.019929418340325356,0.044135723263025284
1,0.099947,1624895123849664,-0.8694543,-0.87227637,-0.002870414,-0.86437666,-0.8297557,0.035478458,0.82893366,0.93147093,0.117361985,-0.40483522,-0.43033695,-0.023883563,0.51701075,0.57774615,0.052653644,-0.8285344,-0.7305462,0.11055125,0.41518876,0.49524245,0.06619818,-0.8360273,-0.98721236,-0.1266598,0.0798671618103981,0.01877780817449093,0.03391752392053604,0.019933711737394333,0.043514542281627655
2,0.199893,1624895123949610,-0.8695124,-0.87126964,-0.0017873853,-0.8642645,-0.8288858,0.03625498,0.82713103,0.9330789,0.121265665,-0.40482295,-0.42999378,-0.023573665,0.5167238,0.5760332,0.05141736,-0.8290642,-0.72937864,0.112466164,0.41434187,0.4947723,0.0665097,-0.8353839,-0.9881845,-0.1280133,0.08114957064390182,0.01861659251153469,0.032878078520298004,0.02003299631178379,0.04325677827000618
3,0.299841,1624895124049558,-0.8695423,-0.8697142,-0.00017484633,-0.8641678,-0.82751524,0.0375604,0.8256345,0.9353424,0.12556933,-0.40477234,-0.42960283,-0.023254918,0.51644886,0.5738345,0.0497496,-0.82946473,-0.72805685,0.11440932,0.41364032,0.49453267,0.06689169,-0.834752,-0.9892783,-0.12945904,0.08255143463611603,0.018467595800757408,0.032001279294490814,0.020163370296359062,0.04268341511487961
4,0.399802,1624895124149519,-0.86955875,-0.869409,0.00015229333,-0.86409533,-0.82726324,0.037744377,0.8244545,0.93927747,0.13142395,-0.4046765,-0.43031052,-0.024007462,0.51613516,0.57252115,0.048882987,-0.82976955,-0.72603196,0.11703772,0.41303214,0.4951757,0.067926325,-0.83415776,-0.9923736,-0.13255005,0.08481166511774063,0.01839623972773552,0.031140025705099106,0.020414531230926514,0.04254236817359924
5,0.499778,1624895124249495,-0.8695949,-0.86633104,0.0033197764,-0.86403245,-0.8252904,0.039701656,0.82290065,0.9372328,0.13086213,-0.4045987,-0.4294528,-0.023277024,0.5158355,0.5732553,0.04977921,-0.8302008,-0.7275278,0.11583663,0.41230994,0.49525413,0.06858839,-0.83344954,-0.98904544,-0.13035513,0.08429626375436783,0.01834932155907154,0.029881129041314125,0.020450327545404434,0.04137929901480675
6,0.599774,1624895124349491,-0.86958766,-0.87115735,-0.0015965942,-0.86400855,-0.8287437,0.036138315,0.8208541,0.9478494,0.14535609,-0.40463936,-0.43307748,-0.026633633,0.5156424,0.57029456,0.047379863,-0.8308203,-0.720738,0.12419591,0.41153184,0.49819574,0.07166431,-0.8322709,-1.0013511,-0.141652,0.09084107726812363,0.018221447244286537,0.026453772559762,0.021033624187111855,0.04384821653366089
7,0.699793,1624895124449510,-0.869514,-0.8707153,-0.0012219236,-0.86400956,-0.8282944,0.03659978,0.8172159,0.9485888,0.15036659,-0.4047439,-0.43274298,-0.026222443,0.51524657,0.56945807,0.04699784,-0.83203465,-0.7203451,0.12600921,0.41016254,0.49801692,0.07264875,-0.8300887,-1.001725,-0.14379345,0.09265546500682831,0.018076907843351364,0.01967323198914528,0.021337468177080154,0.04576271399855614
8,0.799833,1624895124549550,-0.8691222,-0.8712148,-0.002128469,-0.8639045,-0.82874596,0.036029346,0.81084096,0.95054454,0.15990174,-0.40473863,-0.4332696,-0.026720576,0.51439047,0.5695779,0.04784389,-0.834173,-0.719299,0.12960193,0.40777305,0.4986796,0.07517266,-0.8261406,-1.0035319,-0.14861493,0.0964418351650238,0.018004102632403374,0.011401253752410412,0.022061360999941826,0.05294713005423546
9,0.899887,1624895124649604,-0.86805665,-0.87123674,-0.0032345962,-0.863385,-0.8292729,0.034957007,0.7994819,0.9474029,0.1693072,-0.4043206,-0.431958,-0.025883712,0.51280576,0.5703612,0.049896818,-0.83740085,-0.7202652,0.13215353,0.40348533,0.49767455,0.07788717,-0.8192034,-1.0004044,-0.15180655,0.09977050870656967,0.018587728962302208,0.018126370385289192,0.023317063227295876,0.06773054599761963
