iteration,time_s,timestamp_us,gt_z0,pred_z0,normalized_error_z0,gt_z1,pred_z1,normalized_error_z1,gt_z2,pred_z2,normalized_error_z2,gt_z3,pred_z3,normalized_error_z3,gt_z4,pred_z4,normalized_error_z4,gt_z5,pred_z5,normalized_error_z5,gt_z6,pred_z6,normalized_error_z6,gt_z7,pred_z7,normalized_error_z7,skill_rmse,oracle_ADE,oracle_FDE,prediction_ADE,prediction_FDE
0,0.0,1629220874200007,-0.8694455,-0.9850073,-0.117542624,-0.8645118,-0.91775256,-0.05455948,0.8321714,1.0619822,0.26303652,-0.40457466,-0.52636206,-0.114059605,0.51720554,0.67714465,0.1386568,-0.826966,-0.815474,0.012965397,0.4166249,0.53843343,0.10072619,-0.83736944,-0.9875278,-0.12579966,0.13432978093624115,0.0189929511398077,0.03871777281165123,0.01998610980808735,0.045047346502542496
1,0.099991,1629220874299998,-0.8694454,-1.0087718,-0.14171457,-0.8645143,-0.9337866,-0.07098807,0.8321582,1.0851347,0.28955156,-0.4045714,-0.52980804,-0.117289975,0.5172012,0.6344129,0.101614915,-0.82700825,-0.81279725,0.01603298,0.41660693,0.51702476,0.083037734,-0.8373577,-1.0298369,-0.16125521,0.14413557946681976,0.018984509631991386,0.03872828558087349,0.021837463602423668,0.05370979756116867
2,0.199991,1629220874399998,-0.86944324,-0.9892268,-0.12183678,-0.8645018,-0.94227916,-0.07970383,0.8322129,1.1314355,0.34248382,-0.4045619,-0.5919584,-0.1755056,0.51718295,0.66801214,0.1307591,-0.82704055,-0.7298402,0.109662324,0.41659525,0.5872756,0.1411394,-0.837345,-1.1614503,-0.2715289,0.19107143580913544,0.018972616642713547,0.038749776780605316,0.02407652698457241,0.061133790761232376
3,0.300011,1629220874500018,-0.8694442,-0.9845661,-0.1170952,-0.8644959,-0.93811077,-0.07543824,0.83222085,1.1205515,0.3300171,-0.40456277,-0.5835538,-0.16763347,0.5171604,0.6606146,0.12436545,-0.82703614,-0.7390153,0.09930596,0.4165869,0.5767722,0.1324608,-0.8373491,-1.1492045,-0.2612662,0.18287591636180878,0.018978634849190712,0.03874396160244942,0.023317715153098106,0.05908910557627678
4,0.400033,1629220874600040,-0.8694428,-0.97476304,-0.107125506,-0.8644905,-0.9331581,-0.070368394,0.83224905,1.1174145,0.3263943,-0.4045375,-0.5760299,-0.16061066,0.51708996,0.6488162,0.1141981,-0.8270155,-0.75159425,0.08509098,0.41655332,0.5626743,0.120830685,-0.83735734,-1.1394256,-0.25306678,0.1759549379348755,0.018985604867339134,0.0387212298810482,0.022292548790574074,0.05453990399837494
5,0.500058,1629220874700065,-0.86944205,-0.966774,-0.099000305,-0.8644956,-0.9283977,-0.06548491,0.8322989,1.1130587,0.3213517,-0.40452635,-0.5702126,-0.15517293,0.5170863,0.6400193,0.106574886,-0.8270125,-0.7640813,0.07099954,0.4165634,0.5512693,0.11139131,-0.8373623,-1.1301455,-0.24528795,0.16970865428447723,0.018979260697960854,0.03875106945633888,0.021522460505366325,0.05088464543223381
6,0.600092,1629220874800099,-0.8694419,-0.9634737,-0.09564354,-0.8645087,-0.92683834,-0.06387348,0.8322847,1.1133163,0.3216628,-0.40454882,-0.56810737,-0.15318024,0.5171428,0.63466275,0.10188217,-0.8269885,-0.77002543,0.06426629,0.4166059,0.5470549,0.10787118,-0.8373763,-1.128445,-0.24385156,0.1679912805557251,0.018982231616973877,0.038766518235206604,0.021252017468214035,0.04937361553311348
7,0.700136,1629220874900143,-0.8694428,-0.9605962,-0.09271584,-0.8645032,-0.92540747,-0.062412784,0.8322566,1.1130867,0.32143214,-0.40453255,-0.56559515,-0.15084267,0.5171146,0.63111246,0.09882874,-0.826973,-0.777598,0.05570533,0.4165815,0.54272544,0.10431123,-0.83736867,-1.1246114,-0.2406462,0.16591614484786987,0.018987471237778664,0.03872574120759964,0.02092437632381916,0.04779917746782303
8,0.800184,1629220875000191,-0.8694479,-0.95905256,-0.09114058,-0.86449534,-0.9243329,-0.06131968,0.8321409,1.1115417,0.31979626,-0.40451765,-0.563784,-0.1491604,0.5170788,0.630043,0.09793262,-0.82695144,-0.78200734,0.05070636,0.4165353,0.5412909,0.103163175,-0.8373587,-1.1214408,-0.23799826,0.16432929039001465,0.018998412415385246,0.038718510419130325,0.02076301909983158,0.04708102345466614
9,0.90023,1629220875100237,-0.869439,-0.959005,-0.09110124,-0.86451286,-0.92421085,-0.061176628,0.8321468,1.1103518,0.3184275,-0.40455154,-0.5637125,-0.14906168,0.5171709,0.6311084,0.09877639,-0.82695967,-0.7837332,0.048768517,0.4166054,0.54199374,0.1036864,-0.8373684,-1.1212106,-0.23779728,0.16397066414356232,0.01899530179798603,0.038736794143915176,0.020748933777213097,0.047194935381412506
10,1.000267,1629220875200274,-0.86944175,-0.9777714,-0.110186525,-0.8645077,-0.9155124,-0.05226803,0.8321432,1.0571699,0.25756082,-0.40453905,-0.50425816,-0.09339161,0.51715094,0.6037314,0.07505962,-0.8269691,-0.85772127,-0.0346949,0.41657913,0.47848624,0.05119237,-0.8373454,-0.99257845,-0.13005112,0.1205737441778183,0.01899009570479393,0.03874827176332474,0.020179685205221176,0.048389121890068054
11,1.100296,1629220875300303,-0.8694406,-0.9802519,-0.1127107,-0.86450344,-0.9169505,-0.053746127,0.8321334,1.0565648,0.25687942,-0.40453535,-0.508355,-0.097231984,0.5171422,0.60961044,0.08016396,-0.8269724,-0.85331875,-0.02972417,0.41656852,0.48550367,0.057004016,-0.83733076,-0.99816316,-0.13474217,0.12234589457511902,0.018986670300364494,0.03874137997627258,0.020344188436865807,0.0488814152777195
12,1.200314,1629220875400321,-0.8694514,-0.9823941,-0.11487864,-0.86450773,-0.9169665,-0.0537581,0.8320526,1.0518801,0.25160992,-0.40453243,-0.510237,-0.09899726,0.5171126,0.61690736,0.08651555,-0.8269475,-0.8503569,-0.026410665,0.41653943,0.49155247,0.062029954,-0.8373409,-0.99717516,-0.13390595,0.12204303592443466,0.01900419220328331,0.03870386630296707,0.02051166258752346,0.04940783232450485
13,1.300332,1629220875500339,-0.8694473,-0.96137834,-0.09350683,-0.8645095,-0.9059532,-0.042470213,0.8320415,1.0547794,0.25494108,-0.4045391,-0.51940787,-0.10757998,0.517139,0.6559727,0.120359786,-0.8269709,-0.8644356,-0.042268068,0.41654652,0.5136485,0.08029579,-0.8373341,-0.9736518,-0.114204265,0.12393482774496078,0.01900099590420723,0.0387551449239254,0.0182895939797163,0.03938525170087814
14,1.400353,1629220875600360,-0.86944836,-0.96290255,-0.09505607,-0.86450565,-0.9053988,-0.041906007,0.8320744,1.047718,0.24682114,-0.40454102,-0.520296,-0.10840995,0.5171402,0.6634079,0.12680459,-0.8269766,-0.86025524,-0.037545275,0.41654772,0.51851904,0.08432236,-0.8373355,-0.97090584,-0.111902535,0.12277349829673767,0.019002145156264305,0.03878170996904373,0.01847962662577629,0.03998582065105438
15,1.500377,1629220875700384,-0.86945224,-0.9653715,-0.0975634,-0.86449707,-0.9065115,-0.04305506,0.83212644,1.0441662,0.24269621,-0.40452683,-0.5249125,-0.1127468,0.51708776,0.67187,0.13418612,-0.82696456,-0.8526332,-0.028959578,0.41652665,0.5265398,0.09097233,-0.83735347,-0.97562855,-0.1158441,0.12426083534955978,0.019009966403245926,0.03877948597073555,0.01875363662838936,0.04074874147772789
16,1.600401,1629220875800408,-0.8694517,-0.9681926,-0.10043339,-0.8644893,-0.90712553,-0.04369226,0.83220905,1.0372965,0.23473878,-0.4045083,-0.52771235,-0.11538637,0.5170501,0.6808839,0.14203323,-0.82696587,-0.845169,-0.020536952,0.41651955,0.53388083,0.097048655,-0.83736175,-0.9769719,-0.116962604,0.12455224245786667,0.01900590769946575,0.03875584900379181,0.019101163372397423,0.04200884699821472
17,1.700423,1629220875900430,-0.8694469,-0.9706336,-0.10292119,-0.8644922,-0.9078081,-0.044388827,0.83229077,1.0289702,0.22511515,-0.4045292,-0.5306983,-0.11816326,0.5171037,0.6902604,0.15011562,-0.82700247,-0.83819366,-0.012626004,0.41656652,0.5404421,0.102435485,-0.83735913,-0.97817403,-0.117971905,0.12465304136276245,0.018996594473719597,0.03876715898513794,0.0194841418415308,0.04355918988585472
18,1.800449,1629220876000456,-0.8694448,-0.97281694,-0.10514405,-0.864494,-0.9079202,-0.044501767,0.8323207,1.0177678,0.2122588,-0.40454304,-0.53230727,-0.11965718,0.5171403,0.69925463,0.15788125,-0.8270251,-0.8318532,-0.0054471022,0.41659343,0.5456672,0.10673395,-0.8373535,-0.9770288,-0.117017135,0.12371773272752762,0.018989162519574165,0.03877929225564003,0.019843140617012978,0.04499606415629387
19,1.900473,1629220876100480,-0.8694522,-0.97457945,-0.10692926,-0.86448056,-0.9070923,-0.043667156,0.83231395,1.0039608,0.19646339,-0.40452176,-0.5326128,-0.11996326,0.51706606,0.70711696,0.16476177,-0.82702655,-0.8265954,0.00048639404,0.41653776,0.5496055,0.11003667,-0.83735484,-0.9734914,-0.11405246,0.12175408005714417,0.01899503730237484,0.03874875605106354,0.02022404596209526,0.04649249464273453
20,2.000491,1629220876200498,-0.86945105,-0.9738625,-0.106201194,-0.86448693,-0.9035198,-0.03999967,0.8322655,0.9842161,0.17391942,-0.40453976,-0.52761817,-0.11526869,0.5170992,0.7125485,0.16944182,-0.82704026,-0.8268207,0.00024773617,0.41654485,0.5476402,0.108405665,-0.83735746,-0.9595894,-0.10240349,0.11584599316120148,0.01899234764277935,0.038768671452999115,0.020442361012101173,0.04727163538336754
21,2.100487,1629220876300494,-0.86944836,-0.97239435,-0.10471057,-0.8644819,-0.9002523,-0.036656342,0.8323075,0.9593728,0.14543624,-0.40451792,-0.52206075,-0.11008437,0.51705784,0.71893,0.17501004,-0.8270255,-0.8304824,-0.0039001633,0.41652942,0.5434096,0.10492004,-0.83736444,-0.9421775,-0.08781026,0.1089385375380516,0.018990060314536095,0.0387568324804306,0.020635049790143967,0.048187751322984695
22,2.20047,1629220876400477,-0.86945266,-0.9688724,-0.10112392,-0.86447215,-0.8936567,-0.029907383,0.83232063,0.9175682,0.097572565,-0.4044838,-0.5078896,-0.096844405,0.51697797,0.72666144,0.18178193,-0.8269923,-0.8427785,-0.017810171,0.41648245,0.53189456,0.09543685,-0.8373613,-0.90350384,-0.05541291,0.0971856415271759,0.018989622592926025,0.03875799849629402,0.020710373297333717,0.04782047122716904
23,2.30045,1629220876500457,-0.86945987,-0.9643234,-0.096489586,-0.86447483,-0.88684314,-0.022922346,0.83221215,0.8589431,0.030595683,-0.40447837,-0.48951638,-0.07964208,0.5169426,0.7362788,0.19015017,-0.8269368,-0.8652955,-0.043276697,0.41644982,0.51350963,0.080260925,-0.8373739,-0.8500555,-0.010624394,0.08782032877206802,0.01900237798690796,0.0387454628944397,0.021245980635285378,0.04504159837961197
24,2.400426,1629220876600433,-0.86946106,-0.89331055,-0.02425829,-0.8644884,-0.80510384,0.060855463,0.8322045,0.34529796,-0.5573029,-0.4045094,-0.29499245,0.102567755,0.5170294,0.7365142,0.19027905,-0.82691294,-1.1581132,-0.37366328,0.41652185,0.27157378,-0.11986078,-0.83739275,-0.33260578,0.4229004,0.294626921415329,0.01900128461420536,0.03885737434029579,0.12607483565807343,0.5124409198760986
25,2.500401,1629220876700408,-0.8694447,-0.8093004,0.061175235,-0.86450815,-0.72413737,0.14384758,0.83223844,-0.027366292,-0.9838853,-0.4045611,-0.13522734,0.2522437,0.5171642,0.7224077,0.17793278,-0.82694083,-1.3679147,-0.6103317,0.41662094,0.08136202,-0.27723306,-0.8373962,0.06937797,0.75967723,0.5140798091888428,0.018984558060765266,0.0388336144387722,0.3726452887058258,1.5886127948760986
26,2.600372,1629220876800379,-0.86943597,-0.7280848,0.14377406,-0.86452556,-0.6477619,0.22213262,0.8321466,-0.36823207,-1.373928,-0.40460426,0.003456464,0.382168,0.5171681,0.70610666,0.16379744,-0.8270671,-1.5608928,-0.82790905,0.4165702,-0.09626006,-0.42407078,-0.8373181,0.4252314,1.0577387,0.7171692848205566,0.018959863111376762,0.03807654231786728,0.6438611149787903,2.643444776535034
27,2.700342,1629220876900349,-0.869442,-0.690364,0.18214755,-0.86452544,-0.61407596,0.25665277,0.83161074,-0.49872476,-1.5226737,-0.40468687,0.06299984,0.4380105,0.51721114,0.70247877,0.16061498,-0.82731634,-1.6340122,-0.9101218,0.4163964,-0.1666876,-0.48216513,-0.83712,0.57390743,1.1821306,0.7979247570037842,0.01893986575305462,0.03719942271709442,0.7711002826690674,3.0844287872314453
28,2.800309,1629220877000316,-0.86943203,-0.657773,0.21528704,-0.8644853,-0.5824185,0.28905326,0.83102334,-0.62637985,-1.6681128,-0.40474823,0.11852091,0.49006605,0.51721716,0.68980086,0.14961883,-0.82766765,-1.6787441,-0.9601923,0.41614637,-0.22931825,-0.53374904,-0.8368601,0.6956431,1.2839005,0.8682100176811218,0.018890541046857834,0.036528486758470535,0.8983585834503174,3.4873850345611572
29,2.900276,1629220877100283,-0.86943775,-0.63237906,0.24112211,-0.8644279,-0.55845636,0.31355008,0.82993966,-0.7050636,-1.756932,-0.4047688,0.15891849,0.52791953,0.5170662,0.6870663,0.14737906,-0.82812804,-1.7210671,-1.0074221,0.41560352,-0.27213943,-0.56870997,-0.8364325,0.7911797,1.363581,0.9179710149765015,0.018775641918182373,0.03533140942454338,1.0082532167434692,3.8195369243621826
30,3.000245,1629220877200252,-0.86946917,-0.5973234,0.2768106,-0.8643939,-0.5259116,0.34686604,0.8282265,-0.803599,-1.8677528,-0.40482694,0.21402286,0.57958186,0.516822,0.68392384,0.14486644,-0.8286905,-1.7729638,-1.0653379,0.41482493,-0.32651484,-0.6130304,-0.8357846,0.9218802,1.4725363,0.9824367761611938,0.018612585961818695,0.033014263957738876,1.1598548889160156,4.2567644119262695
31,3.100213,1629220877300220,-0.86948794,-0.5671897,0.30747992,-0.8643578,-0.49816743,0.37526047,0.8258693,-0.87861776,-1.9509197,-0.40500116,0.26034713,0.62312984,0.51657563,0.6817554,0.14320013,-0.8295912,-1.8126738,-1.109123,0.41381973,-0.36909342,-0.6474083,-0.8348035,1.0295976,1.561958,1.033153772354126,0.018424464389681816,0.029106222093105316,1.291878581047058,4.6169114112854
32,3.200182,1629220877400189,-0.8695996,-0.54290366,0.3322958,-0.8642939,-0.4785916,0.39525563,0.82165825,-0.9275681,-2.0021274,-0.40517873,0.29331923,0.65417606,0.5160627,0.70165503,0.1608965,-0.83092636,-1.8505366,-1.1503336,0.41203794,-0.3914914,-0.66445637,-0.833044,1.1178107,1.6343871,1.0703378915786743,0.018199246376752853,0.02387070655822754,1.3962268829345703,4.9004340171813965
33,3.300152,1629220877500159,-0.8695274,-0.5322628,0.34304562,-0.8643167,-0.47037414,0.40370002,0.8144752,-0.9430835,-2.0116644,-0.40522534,0.30230016,0.6626308,0.5151067,0.7029078,0.16281135,-0.8329293,-1.8598332,-1.1585625,0.40925044,-0.39977467,-0.66900086,-0.8294439,1.1409158,1.6507277,1.0786429643630981,0.017802847549319267,0.015136327594518661,1.436498999595642,4.994356155395508
34,3.400125,1629220877600132,-0.8684434,-0.5230367,0.3513273,-0.8640161,-0.46375814,0.41017184,0.8010543,-0.9506204,-2.0049295,-0.40500742,0.30276608,0.6628631,0.5131227,0.70421445,0.16566414,-0.8365906,-1.86551,-1.1608365,0.40418234,-0.40273476,-0.6672577,-0.8220181,1.1476536,1.6501515,1.0778461694717407,0.017891278490424156,0.01672675460577011,1.4616223573684692,5.036872863769531
35,3.5001,1629220877700107,-0.8663111,-0.5200851,0.3521606,-0.86306804,-0.4617937,0.4112134,0.7771462,-0.95579344,-1.9834859,-0.4051342,0.30418092,0.6643068,0.511584,0.70721304,0.16959767,-0.8435163,-1.867532,-1.155304,0.39583498,-0.40381682,-0.6612499,-0.8086965,1.1527624,1.643271,1.0706140995025635,0.01977771520614624,0.05093719810247421,1.4684467315673828,5.022583484649658
36,3.60008,1629220877800087,-0.86303616,-0.5360817,0.33255878,-0.8616052,-0.47312,0.3981075,0.7384698,-0.9390638,-1.9200693,-0.40557593,0.29460752,0.6557546,0.5110725,0.71404135,0.17596078,-0.85585624,-1.868602,-1.1425893,0.38242054,-0.3852948,-0.6348409,-0.78804976,1.1458462,1.6201794,1.045839548110962,0.024342406541109085,0.10286573320627213,1.4138848781585693,4.850968837738037
37,3.700061,1629220877900068,-0.85947376,-0.5362873,0.32872617,-0.85754114,-0.47356728,0.3934844,0.68025243,-0.94187117,-1.8566482,-0.4023608,0.29602933,0.6540751,0.5085694,0.71615434,0.17996262,-0.87203854,-1.870894,-1.126918,0.36043516,-0.38649213,-0.6176508,-0.75362366,1.1498021,1.5946519,1.0225327014923096,0.03243100643157959,0.16886559128761292,1.4074091911315918,4.778385639190674
38,3.800045,1629220878000052,-0.854433,-0.5370709,0.322802,-0.85233015,-0.47478727,0.38689414,0.60041684,-0.9439739,-1.7676767,-0.39406604,0.2961343,0.6464049,0.50297195,0.7194395,0.18766329,-0.888745,-1.8724601,-1.1098366,0.32668698,-0.38653708,-0.58978087,-0.705205,1.1516451,1.5556319,0.989393413066864,0.04617034271359444,0.24190838634967804,1.3942323923110962,4.676290512084961
39,3.900031,1629220878100038,-0.845918,-0.53851306,0.31267413,-0.8449646,-0.4768918,0.37718952,0.5050595,-0.9445942,-1.6592427,-0.38211393,0.29300225,0.6322779,0.49870414,0.72398436,0.19530329,-0.91233546,-1.8720615,-1.0827719,0.28512603,-0.3845979,-0.55380964,-0.64436203,1.1474895,1.5011773,0.9462871551513672,0.058618806302547455,0.3162585496902466,1.3712681531906128,4.535879611968994
40,4.000024,1629220878200031,-0.83422124,-0.5407964,0.29845443,-0.8353222,-0.48007062,0.3640507,0.38947982,-0.941957,-1.5239344,-0.36547,0.2848032,0.6090113,0.49299046,0.73041904,0.20583512,-0.94318086,-1.8691528,-1.0446901,0.2354949,-0.37894678,-0.5080955,-0.57190555,1.1343693,1.4294828,0.8909409642219543,0.05108406022191048,0.341891884803772,1.3352090120315552,4.353253364562988
41,4.100018,1629220878300025,-0.8204972,-0.5417038,0.28357217,-0.82416964,-0.480886,0.35178632,0.2622428,-0.9453038,-1.3821322,-0.34685028,0.28683043,0.59347165,0.48742634,0.7326461,0.21258958,-0.98194975,-1.8702114,-1.002145,0.18276012,-0.37983024,-0.4652185,-0.4964382,1.1390542,1.3701828,0.8374053835868835,0.04636675864458084,0.30431708693504333,1.3105992078781128,4.196963310241699
42,4.200006,1629220878400013,-0.81003124,-0.54227316,0.2723477,-0.81509995,-0.48142925,0.3419353,0.15085831,-0.947596,-1.2572675,-0.33140928,0.2884956,0.58057,0.4966123,0.73412025,0.20590393,-1.0315528,-1.8725121,-0.94877815,0.13759486,-0.3811301,-0.42894524,-0.42438224,1.142905,1.3130418,0.7873631119728088,0.06366825848817825,0.26425376534461975,1.2802785634994507,4.018809795379639
43,4.299997,1629220878500004,-0.800246,-0.5415803,0.26309946,-0.8031864,-0.48107305,0.33009169,0.03290331,-0.9506763,-1.1257844,-0.3081789,0.289993,0.560216,0.50910497,0.73590744,0.19662298,-1.0917273,-1.8746935,-0.88334984,0.09078891,-0.38245106,-0.39133266,-0.34461728,1.1468618,1.2495313,0.7325342297554016,0.07716143876314163,0.24422061443328857,1.2464258670806885,3.827755928039551
