iteration,time_s,timestamp_us,gt_z0,pred_z0,normalized_error_z0,gt_z1,pred_z1,normalized_error_z1,gt_z2,pred_z2,normalized_error_z2,gt_z3,pred_z3,normalized_error_z3,gt_z4,pred_z4,normalized_error_z4,gt_z5,pred_z5,normalized_error_z5,gt_z6,pred_z6,normalized_error_z6,gt_z7,pred_z7,normalized_error_z7,skill_rmse,oracle_ADE,oracle_FDE,prediction_ADE,prediction_FDE
0,0.0,1624895101550082,-0.86945045,-0.9684675,-0.10071427,-0.86453235,-0.9279383,-0.06497642,0.83261234,0.9377267,0.12031164,-0.40466428,-0.499632,-0.08894172,0.5173505,0.61726785,0.08662184,-0.8268439,-0.7183302,0.12242618,0.41687286,0.48945463,0.060019482,-0.837555,-0.9690091,-0.110129625,0.09680728614330292,0.018987683579325676,0.03899672254920006,0.02431526780128479,0.06220199167728424
1,0.100067,1624895101650149,-0.86944795,-0.96958065,-0.10184907,-0.86452293,-0.92963856,-0.06672846,0.83265543,0.94333166,0.12667766,-0.40464658,-0.50120795,-0.090434246,0.5173057,0.61801887,0.08731178,-0.8268804,-0.71429616,0.12701859,0.4168313,0.49215674,0.062288277,-0.837537,-0.9737248,-0.114095405,0.09981618076562881,0.01896650902926922,0.03897954523563385,0.02445133961737156,0.06261884421110153
2,0.200133,1624895101750215,-0.86944777,-0.9708034,-0.103092946,-0.86452436,-0.93137246,-0.06850384,0.8326128,0.94899654,0.13321035,-0.4046464,-0.50274813,-0.09187687,0.5173027,0.6190016,0.088166356,-0.82687336,-0.7104813,0.13131462,0.41682836,0.4950236,0.06466139,-0.83753544,-0.97815603,-0.11780912,0.10282521694898605,0.018964121118187904,0.03896031901240349,0.02462063357234001,0.06307297945022583
3,0.300195,1624895101850277,-0.86944926,-0.9732418,-0.10557165,-0.8645235,-0.9335694,-0.07075608,0.832555,0.95681334,0.14222346,-0.40464938,-0.50560796,-0.09455244,0.5172832,0.61915946,0.088320084,-0.8268629,-0.70344263,0.13924386,0.41681248,0.499835,0.06865318,-0.8375388,-0.988831,-0.12674958,0.10798580199480057,0.018963951617479324,0.038953039795160294,0.024962158873677254,0.06441018730401993
4,0.400255,1624895101950337,-0.8694417,-0.97427285,-0.10662806,-0.86454374,-0.93504375,-0.07224621,0.8325325,0.9611943,0.14726351,-0.4046841,-0.5068165,-0.09565179,0.51738846,0.6198542,0.088831134,-0.82689166,-0.7000006,0.14315969,0.41687047,0.50213313,0.07050559,-0.8375283,-0.9926713,-0.12997572,0.11049618571996689,0.018942534923553467,0.038998812437057495,0.025028618052601814,0.06461367011070251
5,0.500316,1624895102050398,-0.86943483,-0.975317,-0.107697085,-0.86454934,-0.9365367,-0.073770426,0.8324967,0.96573865,0.1525059,-0.40467858,-0.5079889,-0.09675498,0.5173997,0.6205398,0.089415714,-0.82689214,-0.69697726,0.14657117,0.41687053,0.5043918,0.07237328,-0.837507,-0.9962937,-0.13302833,0.11295631527900696,0.018930217251181602,0.038997214287519455,0.025093412026762962,0.06475506722927094
6,0.600359,1624895102150441,-0.86943704,-0.9764961,-0.108894154,-0.8645624,-0.9381202,-0.07537972,0.8324253,0.9700664,0.15754111,-0.40470243,-0.50893927,-0.097622685,0.5174545,0.62129354,0.09002169,-0.82690746,-0.6943853,0.14951274,0.41689405,0.5064888,0.074087895,-0.8374973,-0.9994642,-0.13569264,0.11524371057748795,0.018923379480838776,0.03899657353758812,0.025169551372528076,0.06493376940488815
7,0.700377,1624895102250459,-0.86943066,-0.97752357,-0.10994572,-0.8645606,-0.93953544,-0.07683186,0.8324299,0.9738064,0.16181654,-0.4046986,-0.509918,-0.09854286,0.5174598,0.6220634,0.0906845,-0.82691735,-0.6920956,0.15210718,0.4168997,0.5083704,0.07563915,-0.8374923,-1.0022875,-0.13806213,0.11727595329284668,0.018921028822660446,0.03900948911905289,0.025237087160348892,0.06511321663856506
8,0.800374,1624895102350456,-0.8694226,-0.97854495,-0.1109928,-0.8645668,-0.9415018,-0.078840576,0.83247983,0.98283505,0.17209339,-0.404724,-0.5127287,-0.10115145,0.5175412,0.62060475,0.08934937,-0.8269567,-0.6859843,0.15904635,0.4169554,0.51157415,0.07824234,-0.8374761,-1.0144348,-0.14825249,0.12235333025455475,0.018908759579062462,0.03906365856528282,0.025422198697924614,0.06595747917890549
9,0.900351,1624895102450433,-0.86941814,-0.97987115,-0.11234628,-0.8645534,-0.9432233,-0.080618456,0.83252585,0.9869798,0.1767847,-0.4047069,-0.5138649,-0.10223156,0.5175131,0.6212057,0.08989473,-0.82698566,-0.6840598,0.16125028,0.41693506,0.5133933,0.07976346,-0.8374581,-1.0176531,-0.1509638,0.12452917546033859,0.01890316791832447,0.03908608853816986,0.02549068070948124,0.0662146583199501
10,1.000315,1624895102550397,-0.8694161,-0.98110664,-0.113605,-0.86455935,-0.94492084,-0.08235194,0.8325543,0.9915102,0.18193759,-0.40470588,-0.51535404,-0.10362718,0.5175269,0.62193596,0.090515845,-0.82698095,-0.68225837,0.16327736,0.41695562,0.51553047,0.08151374,-0.8374566,-1.0212879,-0.1540102,0.12685821950435638,0.01891186460852623,0.03905762359499931,0.025574883446097374,0.06642673164606094
11,1.100268,1624895102650350,-0.86941135,-0.98229825,-0.114821896,-0.8645471,-0.946456,-0.08393772,0.8325842,0.99513304,0.18604995,-0.40467274,-0.5161778,-0.104429685,0.5174837,0.622483,0.091027565,-0.82700115,-0.6816054,0.16403684,0.4169182,0.5169245,0.08269744,-0.8374267,-1.0235652,-0.15594307,0.12850144505500793,0.01890241727232933,0.039067622274160385,0.02560773864388466,0.06655547767877579
12,1.200211,1624895102750293,-0.86941415,-0.98351717,-0.11605885,-0.8645567,-0.948057,-0.08556846,0.83249813,0.99914384,0.19073914,-0.40468544,-0.5169822,-0.105171174,0.5175248,0.6231123,0.09153753,-0.82700497,-0.6811698,0.16453259,0.41692883,0.5183805,0.083892666,-0.8374198,-1.0258135,-0.15783243,0.1302080750465393,0.018914060667157173,0.03907022625207901,0.025671787559986115,0.06669052690267563
13,1.30014,1624895102850222,-0.8694142,-0.98465824,-0.117219426,-0.8645562,-0.9498785,-0.08743564,0.83243054,1.003786,0.19612978,-0.40468243,-0.51784587,-0.10598286,0.5175351,0.6231115,0.091527864,-0.82699984,-0.68115157,0.16454738,0.41691712,0.51956296,0.084880136,-0.83740586,-1.0285681,-0.16015194,0.13199958205223083,0.018917780369520187,0.039068613201379776,0.02572133205831051,0.06681179255247116
14,1.400065,1624895102950147,-0.86942166,-0.98576,-0.11833246,-0.86455303,-0.95163745,-0.08924138,0.8323627,1.0085803,0.20169494,-0.40466726,-0.51869094,-0.10678852,0.5175017,0.62302303,0.09148012,-0.8270031,-0.6815413,0.16411136,0.41686636,0.5206715,0.08583877,-0.83738536,-1.0312172,-0.16238846,0.13373981416225433,0.0189271941781044,0.03903736546635628,0.025760391727089882,0.06679666042327881
15,1.499996,1624895103050078,-0.86942065,-0.98398376,-0.11652683,-0.8645447,-0.9503364,-0.08791666,0.8322696,1.0094442,0.20279032,-0.40464127,-0.5141065,-0.102519326,0.51744956,0.6271969,0.09514381,-0.8269985,-0.68934983,0.15529647,0.41680607,0.51925325,0.08471586,-0.8373623,-1.0159186,-0.14959091,0.1302236169576645,0.018934624269604683,0.03898322582244873,0.025216195732355118,0.0639076679944992
16,1.599932,1624895103150014,-0.86942524,-0.9811783,-0.1136686,-0.8645421,-0.94903,-0.08658051,0.8322779,1.0016172,0.19382216,-0.4046425,-0.5026591,-0.09179713,0.5174446,0.61709845,0.08639339,-0.8269945,-0.7126034,0.1290571,0.4168074,0.49961233,0.068473235,-0.83737046,-1.0060203,-0.14129147,0.11999057233333588,0.01894071139395237,0.03897721692919731,0.024989141151309013,0.06430325657129288
17,1.699868,1624895103249950,-0.8694232,-0.9820422,-0.114549376,-0.8645265,-0.95073754,-0.08834636,0.8323749,1.0047871,0.19733936,-0.40462166,-0.5043324,-0.093383804,0.5173835,0.6178558,0.08710292,-0.82700264,-0.71215093,0.12957677,0.4167841,0.5015335,0.07008117,-0.8373685,-1.0099143,-0.1445554,0.12184759974479675,0.01893998309969902,0.038991715759038925,0.02503807470202446,0.06459939479827881
18,1.799807,1624895103349889,-0.8694312,-0.9731467,-0.10549326,-0.8645357,-0.9359868,-0.07322088,0.83235985,0.9653011,0.15216173,-0.40464357,-0.5153041,-0.10363877,0.5174338,0.6311077,0.098547846,-0.8270065,-0.71321017,0.12838611,0.4168078,0.50729513,0.07482599,-0.8373652,-0.9980007,-0.13457718,0.11196479946374893,0.018946072086691856,0.03898442164063454,0.024506837129592896,0.06310504674911499
19,1.89975,1624895103449832,-0.8694374,-0.9736407,-0.10598943,-0.8645169,-0.9370124,-0.07429108,0.8322855,0.96764874,0.15493387,-0.4046112,-0.515936,-0.10426091,0.517333,0.6315583,0.09902593,-0.8270193,-0.7142771,0.12719679,0.41671452,0.5082643,0.07570455,-0.83735514,-0.9998006,-0.13609357,0.11284145712852478,0.01895875483751297,0.038911208510398865,0.024520719423890114,0.06310835480690002
20,1.999695,1624895103549777,-0.86943734,-0.974267,-0.10662655,-0.8645133,-0.9383542,-0.07566986,0.832393,0.9708494,0.15847427,-0.40462855,-0.5171807,-0.10541035,0.5173497,0.63198185,0.09937859,-0.82702076,-0.71447843,0.1269713,0.41676024,0.50970304,0.07685647,-0.8373806,-1.0032059,-0.13892512,0.11430524289608002,0.018967388197779655,0.038891326636075974,0.024561401456594467,0.06324895471334457
21,2.099645,1624895103649727,-0.8694326,-0.9744302,-0.10679733,-0.86448926,-0.9401787,-0.077564165,0.8325189,0.97873884,0.16736028,-0.40458274,-0.52133906,-0.10934776,0.51724124,0.6318046,0.099318966,-0.8270403,-0.7110562,0.13085438,0.41670093,0.5136473,0.08016713,-0.83737093,-1.0172257,-0.15067875,0.11911457031965256,0.018962284550070763,0.03888912871479988,0.02468183822929859,0.06402572989463806
22,2.199595,1624895103749677,-0.869437,-0.97500694,-0.107379526,-0.86450315,-0.941209,-0.07860578,0.83242196,0.9808464,0.16988347,-0.4046101,-0.5220752,-0.11001155,0.51730186,0.6324147,0.09979534,-0.82699746,-0.7117731,0.1299972,0.4167346,0.51473856,0.08104165,-0.8373887,-1.0190812,-0.15221837,0.12003578990697861,0.018979012966156006,0.03889175131917,0.02473161742091179,0.06416338682174683
23,2.299548,1624895103849630,-0.86944294,-0.9754087,-0.10778209,-0.8644853,-0.9419363,-0.07936935,0.8324444,0.9820422,0.17122643,-0.40456843,-0.5215347,-0.109544374,0.5171854,0.63189876,0.09944903,-0.82697207,-0.71317726,0.12838435,0.41665432,0.5142672,0.08071827,-0.8373887,-1.0192468,-0.1523571,0.12007065862417221,0.018979158252477646,0.0388597808778286,0.024736376479268074,0.06420513987541199
24,2.399502,1624895103949584,-0.8694514,-0.9683132,-0.100556396,-0.86449206,-0.93547815,-0.072744325,0.83237714,0.9827677,0.17213385,-0.40456343,-0.50722647,-0.096148744,0.5171776,0.62371945,0.09236487,-0.8269371,-0.7377434,0.100629166,0.41664025,0.49686033,0.06633577,-0.83739513,-0.9960577,-0.13292432,0.10897520929574966,0.018981102854013443,0.03881560638546944,0.023718608543276787,0.06008928269147873
25,2.499453,1624895104049535,-0.8694428,-0.9696121,-0.101886295,-0.8644999,-0.9371169,-0.074415624,0.83234316,0.9856526,0.17547476,-0.4045754,-0.5079756,-0.09683911,0.5172346,0.6239724,0.09253472,-0.82692593,-0.73771995,0.10064302,0.41667944,0.4981228,0.06734733,-0.8373957,-0.998527,-0.13499254,0.11041855067014694,0.0189770869910717,0.038866352289915085,0.02378999814391136,0.06035967171192169
