iteration,time_s,timestamp_us,gt_z0,pred_z0,normalized_error_z0,gt_z1,pred_z1,normalized_error_z1,gt_z2,pred_z2,normalized_error_z2,gt_z3,pred_z3,normalized_error_z3,gt_z4,pred_z4,normalized_error_z4,gt_z5,pred_z5,normalized_error_z5,gt_z6,pred_z6,normalized_error_z6,gt_z7,pred_z7,normalized_error_z7,skill_rmse,oracle_ADE,oracle_FDE,prediction_ADE,prediction_FDE
0,0.0,1620857941601335,1.5019956,1.5831835,0.082579605,1.4708108,1.4395711,-0.032013394,-1.2505053,-1.5754545,-0.37192988,1.5072142,1.6182072,0.10395017,-1.0843215,-0.8712065,0.18475682,0.4543776,0.666004,0.23875889,-0.72687453,-0.8322216,-0.087113865,2.1012664,2.3489847,0.20753346,0.19325552880764008,0.22401316463947296,0.6440301537513733,0.26414722204208374,0.39498719573020935
1,0.099931,1620857941701266,1.5266701,1.6491256,0.12455448,1.4951906,1.5034015,0.00841427,-1.1948802,-1.468013,-0.312622,1.4929332,1.5370811,0.04134664,-1.1507127,-0.83440816,0.27421546,0.5066662,0.6728036,0.18743776,-0.7190277,-0.71701014,0.0016683633,2.0246437,2.2322636,0.1739398,0.1787496656179428,0.23302379250526428,0.6463415026664734,0.1705247461795807,0.5658501386642456
2,0.199851,1620857941801186,1.5468427,1.6690062,0.124257535,1.5148528,1.5239407,0.009313016,-1.1485562,-1.3400185,-0.21914366,1.4788877,1.4949038,0.0149998525,-1.2085034,-0.9228202,0.2476687,0.54924697,0.7483785,0.22466207,-0.71202457,-0.6777189,0.028368142,1.9540052,2.0720072,0.09885966,0.1525477021932602,0.22000858187675476,0.6176080703735352,0.21725749969482422,0.7256383299827576
3,0.299758,1620857941901093,1.5685271,1.6888968,0.122432925,1.5364802,1.53447,-0.0020600169,-1.090586,-1.3521783,-0.29941308,1.4651321,1.4709086,0.005409986,-1.2747282,-0.92375374,0.304272,0.59598905,0.8071933,0.23828258,-0.7049072,-0.6581105,0.038697217,1.8747023,2.0123963,0.11535728,0.18331541121006012,0.22810311615467072,0.6111136674880981,0.1980716437101364,0.6758716106414795
4,0.399654,1620857942000989,1.5828841,1.7745495,0.19495073,1.550473,1.6100974,0.061101254,-1.0539978,-1.2049598,-0.17278789,1.452307,1.3476081,-0.09805542,-1.3176422,-0.7997408,0.44898683,0.6315717,0.7765907,0.16361178,-0.6983833,-0.48339176,0.17778127,1.8161573,1.9056759,0.074996844,0.20820613205432892,0.2118764966726303,0.5699709057807922,0.49819594621658325,1.425309181213379
5,0.499552,1620857942100887,1.6003081,1.7812254,0.18401848,1.5690118,1.6210392,0.053315993,-1.0087028,-1.2469656,-0.27271065,1.4331506,1.366015,-0.06287572,-1.3575045,-0.8556855,0.43504444,0.6721611,0.82161057,0.16861027,-0.6828577,-0.52400887,0.13135563,1.746813,1.894328,0.12358506,0.21367338299751282,0.22444845736026764,0.5715161561965942,0.3725326657295227,1.165570855140686
6,0.599457,1620857942200792,1.6124946,1.7570127,0.14699532,1.5848932,1.5834115,-0.001518473,-0.9634515,-1.1542985,-0.21843947,1.4242476,1.365071,-0.055421624,-1.3919352,-0.945992,0.38660377,0.6795925,0.8344731,0.17473772,-0.6759752,-0.550038,0.1041403,1.7068647,1.8011228,0.07896753,0.1835327297449112,0.21934755146503448,0.557961642742157,0.31209537386894226,0.9768865704536438
7,0.699363,1620857942300698,1.6304768,1.7010238,0.07175623,1.6063818,1.5340538,-0.07411944,-0.90343916,-1.1389816,-0.26959684,1.4116163,1.3472157,-0.06031425,-1.435177,-1.0575969,0.32733732,0.6904312,0.8777658,0.21135263,-0.66321576,-0.6087947,0.04500199,1.6483539,1.6552055,0.005740095,0.1735081821680069,0.24494852125644684,0.5858154892921448,0.20744222402572632,0.6326859593391418
8,0.79928,1620857942400615,1.6389956,1.6826255,0.04437774,1.619316,1.5255884,-0.0960491,-0.8641654,-1.1536646,-0.3313546,1.4066682,1.3563743,-0.047102615,-1.4706593,-1.1647635,0.26519176,0.69367236,0.93807083,0.27573264,-0.66221195,-0.65410876,0.00670071,1.6112633,1.5769763,-0.028724942,0.18385949730873108,0.22757229208946228,0.5384727716445923,0.18064449727535248,0.4727364182472229
9,0.899216,1620857942500551,1.656193,1.7260286,0.07103259,1.6384814,1.5674491,-0.072791666,-0.8116534,-1.4397892,-0.71895087,1.3907698,1.5043836,0.10640457,-1.4999852,-1.1943834,0.2649369,0.7030728,0.97160953,0.30296567,-0.64565974,-0.7983434,-0.12625754,1.5594791,1.8672951,0.25788212,0.3128458857536316,0.25565484166145325,0.5822304487228394,0.5249304175376892,0.8759141564369202
