iteration,time_s,timestamp_us,gt_z0,pred_z0,normalized_error_z0,gt_z1,pred_z1,normalized_error_z1,gt_z2,pred_z2,normalized_error_z2,gt_z3,pred_z3,normalized_error_z3,gt_z4,pred_z4,normalized_error_z4,gt_z5,pred_z5,normalized_error_z5,gt_z6,pred_z6,normalized_error_z6,gt_z7,pred_z7,normalized_error_z7,skill_rmse,oracle_ADE,oracle_FDE,prediction_ADE,prediction_FDE
0,0.0,1629220961699827,-0.30767527,-0.41318762,-0.107320935,-0.30905703,-0.39701906,-0.09014074,-1.3969535,-1.7741418,-0.43172175,0.47421172,0.42606747,-0.045089345,0.2734923,0.2851293,0.010088524,-1.5890696,-1.56108,0.031578157,-0.7762033,-0.8772236,-0.08353597,1.0806061,1.0396721,-0.03429366,0.16481547057628632,0.08775589615106583,0.27910134196281433,0.3016807734966278,0.8347482085227966
1,0.099939,1629220961799766,-0.28686985,-0.471609,-0.18790574,-0.28991368,-0.44131985,-0.1551563,-1.3791077,-1.7540437,-0.42914376,0.50232744,0.37531787,-0.11895041,0.30019885,0.3181132,0.01553058,-1.6324422,-1.5192734,0.12767814,-0.78029144,-0.8139322,-0.02781828,1.1608061,0.9464441,-0.17958817,0.19597968459129333,0.08752644807100296,0.3216664791107178,0.6332896947860718,1.571263313293457
2,0.199872,1629220961899699,-0.2674015,-0.531875,-0.26900685,-0.27471143,-0.4938387,-0.22455476,-1.3722309,-1.693611,-0.36784488,0.53079706,0.32851636,-0.18944535,0.29844254,0.31316268,0.012761405,-1.6590064,-1.3759599,0.31933567,-0.7977217,-0.7574848,0.03327278,1.2205542,0.764128,-0.38238475,0.2606367766857147,0.09876769036054611,0.3498684763908386,0.9709348678588867,2.4172089099884033
3,0.299801,1629220961999628,-0.2490153,-0.60669065,-0.36380625,-0.26299807,-0.57039756,-0.31501338,-1.3744428,-1.5106704,-0.15592323,0.56307214,0.21378307,-0.32712558,0.27229536,0.3899907,0.102034196,-1.6690264,-1.2693007,0.45097423,-0.82630086,-0.5892738,0.19600295,1.266688,0.55179495,-0.5989231,0.3488958179950714,0.11679618805646896,0.3760613203048706,1.4978899955749512,3.5712127685546875
4,0.399745,1629220962099572,-0.22945365,-0.59621155,-0.37304446,-0.25179538,-0.56414217,-0.3200832,-1.3754292,-1.5998492,-0.25686646,0.6007834,0.23440216,-0.34313318,0.22026266,0.3638692,0.12449752,-1.6694779,-1.234268,0.49100795,-0.8677469,-0.63349485,0.19370823,1.3036591,0.5531221,-0.62878484,0.37329912185668945,0.1388862431049347,0.407113254070282,1.551987886428833,3.7220523357391357
5,0.499715,1629220962199542,-0.21035546,-0.62518096,-0.421936,-0.23922466,-0.589855,-0.359315,-1.3787159,-1.5198884,-0.16158308,0.64158505,0.19388042,-0.41929635,0.14717358,0.39705014,0.21662672,-1.6619024,-1.1861621,0.53673464,-0.91887957,-0.5732291,0.2858261,1.3324751,0.46515507,-0.72662336,0.4262841045856476,0.1640014946460724,0.4491773545742035,1.8797112703323364,4.363592624664307
6,0.599709,1629220962299536,-0.19299945,-0.6311395,-0.4456502,-0.22593531,-0.5972827,-0.3805452,-1.3839918,-1.5140226,-0.14883043,0.6849265,0.18209063,-0.47092935,0.052651662,0.3975649,0.2990173,-1.6414931,-1.1464964,0.5584599,-0.980471,-0.5661385,0.3426208,1.3517925,0.4178533,-0.78243554,0.4634418785572052,0.18346668779850006,0.4975041151046753,2.086498975753784,4.751410007476807
7,0.699714,1629220962399541,-0.17974919,-0.6338757,-0.4619107,-0.21812867,-0.60102624,-0.39238143,-1.3657045,-1.5061877,-0.16079402,0.7164493,0.1761115,-0.50605166,-0.06624051,0.41660833,0.41859853,-1.6271327,-1.1158488,0.5768352,-1.0506411,-0.54974484,0.41420224,1.3411406,0.40239722,-0.78646046,0.4933704137802124,0.21734477579593658,0.5027284622192383,2.3011507987976074,5.091814994812012
8,0.799739,1629220962499566,-0.16738823,-0.5768715,-0.4165022,-0.21316805,-0.5567977,-0.35214087,-1.3281133,-1.6939309,-0.41870698,0.75204974,0.24745296,-0.47257853,-0.2074833,0.3886522,0.51681066,-1.6160622,-1.1160237,0.5641481,-1.1331857,-0.64840794,0.40087357,1.3043927,0.53120357,-0.64776236,0.4824126064777374,0.2511897683143616,0.4956357479095459,2.1932337284088135,4.748611927032471
9,0.899791,1629220962599618,-0.15647666,-0.44159222,-0.2900027,-0.20973735,-0.44449797,-0.24057534,-1.2833027,-2.0952725,-0.9293635,0.78918666,0.4070791,-0.35786164,-0.37108004,0.23772229,0.527792,-1.5989788,-1.0743537,0.5918869,-1.227341,-0.8982378,0.2721428,1.2516906,0.7377811,-0.4305431,0.5027527809143066,0.2784944176673889,0.48488500714302063,1.68597412109375,3.7534351348876953
